person,platform,rank,title,url,view_count,like_count,upload_date,duration,profile_url,status,scope,note
Dave Ramsey,YouTube,1,Can We Justify a $400 Purchase after Becoming Debt Free,https://www.youtube.com/watch?v=HB7kHFL3fL8,62064,1319,20260508,563,https://www.youtube.com/@TheRamseyShow/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Official Ramsey Show channel; Facebook has high reach but video view extraction is not reliable without account/API access.
Dave Ramsey,YouTube,2,Our Investors Embezzled Over A Million Dollars (We Lost Our Income),https://www.youtube.com/watch?v=evCYRqrrrP4,49187,904,20260510,508,https://www.youtube.com/@TheRamseyShow/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Official Ramsey Show channel; Facebook has high reach but video view extraction is not reliable without account/API access.
Dave Ramsey,YouTube,3,"""I'm Pretty Good with Money"" (Filed For Bankruptcy Twice)",https://www.youtube.com/watch?v=mgw2RrrFjiU,44316,914,20260510,502,https://www.youtube.com/@TheRamseyShow/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Official Ramsey Show channel; Facebook has high reach but video view extraction is not reliable without account/API access.
Robert Kiyosaki,YouTube,1,"Why the Same Mistake That Caused 2008 Is Happening Again - Robert Kiyosaki, George Gammon",https://www.youtube.com/watch?v=SPl04rvJ7eA,71634,1801,20260506,2251,https://www.youtube.com/@TheRichDadChannel/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Official Rich Dad channel.
Robert Kiyosaki,YouTube,2,"World War III Has Already Begun? What You Are Missing Right Now - Robert Kiyosaki, Gerald Celente",https://www.youtube.com/watch?v=sz_2Uv1vqq8,60323,1924,20260429,2190,https://www.youtube.com/@TheRichDadChannel/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Official Rich Dad channel.
Robert Kiyosaki,YouTube,3,Why the Rich Don’t Quit Their Jobs Too Early (And What They Do Instead) - Robert Kiyosaki,https://www.youtube.com/watch?v=BaUniq9zn7A,34911,1675,20260509,1324,https://www.youtube.com/@TheRichDadChannel/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Official Rich Dad channel.
Ankur Warikoo,YouTube,1,"30,000 vs 3,00,000 vs 3,00,00,000 INR Per Month | The India You Didn't Know You Were A Part Of",https://www.youtube.com/watch?v=aofTlE_mctg,945290,24762,20260418,1299,https://www.youtube.com/@warikoo/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Large finance/career creator in India.
Ankur Warikoo,YouTube,2,21-Year-Old TRAPPED in ₹1 LAKH Monthly EMI! | Money Matters Ep. 108 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=JBWgPt3lrVk,503028,12849,20260415,1180,https://www.youtube.com/@warikoo/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Large finance/career creator in India.
Ankur Warikoo,YouTube,3,Rich Dad Poor Dad Got THESE Things WRONG! | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=71XCDmeX0Do,369677,9674,20260411,1518,https://www.youtube.com/@warikoo/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Large finance/career creator in India.
Pranjal Kamra,YouTube,1,How To Survive This Stock Market Correction?,https://www.youtube.com/watch?v=fvyaNVJmSoo,214462,11832,20260313,722,https://www.youtube.com/@PranjalKamra/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Investing education channel.
Pranjal Kamra,YouTube,2,What To Do In a Stock Market Crash?,https://www.youtube.com/watch?v=CG7xgl7fJuU,130693,5300,20260324,782,https://www.youtube.com/@PranjalKamra/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Investing education channel.
